site,year,n_days,n_good,frac_good
HARV,2018,365,40,0.1095890410958904
HARV,2019,365,104,0.28493150684931506
HARV,2020,366,37,0.10109289617486339
HARV,2021,365,106,0.29041095890410956
HARV,2022,365,68,0.1863013698630137
HARV,2023,365,163,0.4465753424657534
HARV,2024,182,40,0.21978021978021978
KONZ,2018,365,145,0.3972602739726027
KONZ,2019,365,159,0.43561643835616437
KONZ,2020,366,189,0.5163934426229508
KONZ,2021,365,223,0.6109589041095891
KONZ,2022,365,223,0.6109589041095891
KONZ,2023,365,249,0.6821917808219178
KONZ,2024,182,129,0.7087912087912088
NIWO,2018,365,49,0.13424657534246576
NIWO,2019,365,62,0.16986301369863013
NIWO,2020,366,40,0.1092896174863388
NIWO,2021,365,79,0.21643835616438356
NIWO,2022,365,146,0.4
NIWO,2023,365,146,0.4
NIWO,2024,182,12,0.06593406593406594
OSBS,2018,365,58,0.1589041095890411
OSBS,2019,365,59,0.16164383561643836
OSBS,2020,366,246,0.6721311475409836
OSBS,2021,365,112,0.30684931506849317
OSBS,2022,365,43,0.1178082191780822
OSBS,2023,365,109,0.29863013698630136
OSBS,2024,182,103,0.5659340659340659
SJER,2018,122,15,0.12295081967213115
SJER,2019,365,117,0.32054794520547947
SJER,2020,366,37,0.10109289617486339
SJER,2021,365,274,0.7506849315068493
SJER,2022,365,275,0.7534246575342466
SJER,2023,365,214,0.5863013698630137
SJER,2024,182,104,0.5714285714285714
SRER,2018,365,192,0.5260273972602739
SRER,2019,365,121,0.3315068493150685
SRER,2020,366,162,0.4426229508196721
SRER,2021,365,279,0.7643835616438356
SRER,2022,365,310,0.8493150684931506
SRER,2023,365,293,0.8027397260273973
SRER,2024,182,122,0.6703296703296703
WREF,2018,306,62,0.20261437908496732
WREF,2019,365,126,0.3452054794520548
WREF,2020,366,84,0.22950819672131148
WREF,2021,365,142,0.38904109589041097
WREF,2022,365,81,0.2219178082191781
WREF,2023,365,43,0.1178082191780822
WREF,2024,182,71,0.3901098901098901
